Data,Ano,Mes,Dia,Movimentacao,ValorBRL,Modalidade,Categoria,Subcategoria,Recorrente,Descrição,ValorUSD,CotacaoNaData
2023-02-10,2023,02,10,SuaAcademia,119.90,Credito,Saúde,Academia,1,Smartfit,,
2023-02-11,2023,02,11,Pag*Meltsburger,124.00,Credito,Restaurante,Jantar,0,Aniversário da Sabrina,,
2023-02-14,2023,02,14,DominioLanches,73.33,Credito,Bares,Lazer,0,Bar do Zóio,,
2023-02-17,2023,02,17,HeringStore,179.97,Credito,Vestuário,Aparência,0,,,
2023-02-17,2023,02,17,Dm*Spotify,9.90,Credito,Serviços,Assinatura,1,Música,,
2023-02-18,2023,02,18,Pag*Panvelfilial447,20.98,Credito,Drogaria,Saúde,0,,,
2023-02-20,2023,02,20,Totalpass,59.90,Credito,Saúde,Academia,1,Totalpass Smartfit,,
2023-02-20,2023,02,20,KontainerBeerStation,15.00,Credito,Bares,Lazer,0,,,
2023-02-20,2023,02,20,Pag*Ooriginalnabrasa,34.00,Credito,Restaurante,Date,0,Jantar com a Giu em floripa,,
2023-02-21,2023,02,21,PAG*Rosanecoelho,81.00,Credito,Não sei,Não sei,0,,,
2023-02-22,2023,02,22,VovoMaria,54.53,Credito,Bares,Lazer,0,Açaí burger,,
2023-02-22,2023,02,22,PIXENVIADO-Cp:00360305-JOSEVARLINPEREIRA,15.00,Pix,Não sei,Não sei,0,,,
2023-02-24,2023,02,24,Izaacessorios,119.90,Credito,Doação,Presentes,0,Presente brinco da Giu,,
2023-02-25,2023,02,25,CasaSantaGemmaSuper,73.40,Credito,Compras,Mercado,0,,,
2023-02-26,2023,02,26,ContaVivo,125.37,Credito,Serviços,Assinatura,1,Internet,,
2023-02-26,2023,02,26,DeckLounge,108.99,Credito,Bares,Date,0,Bar com a Giu,,
2023-02-26,2023,02,26,Uber*Uber*Trip,9.92,Credito,Transporte,Carro,0,,,
2023-02-26,2023,02,26,Tembici,37.90,Credito,Transporte,Assinatura,1,Bike Itaú,,
2023-02-28,2023,02,28,Pag*Bettabarshortfood,40.00,Credito,Bares,Lazer,0,Coelhão,,
2023-02-28,2023,02,28,digitalocean.Com,26.56,Credito,Serviços,Assinatura,1,Servidor Meu site,5.00,5.3120
2023-03-01,2023,03,01,IofInternacional,1.43,Credito,Serviços,Taxa,1,,,
2023-03-01,2023,03,01,PaoDeAcucar-1026,12.58,Credito,Compras,Mercado,0,,,
2023-03-02,2023,03,02,Uber*Uber*Trip,44.90,Credito,Transporte,Carro,0,,,
2023-03-02,2023,03,02,StarPlus,18.00,Credito,Serviços,Assinatura,1,,,
2023-03-02,2023,03,02,apple.Com/Bill,3.50,Credito,Serviços,Assinatura,1,,,
2023-03-03,2023,03,03,Ebn*Sonyplaystatn,78.08,Credito,Entretenimento,Lazer,0,Jogo ,,
2023-03-03,2023,03,03,VovoMaria,75.79,Credito,Bares,Lazer,0,Açaí burger,,
2023-03-03,2023,03,03,DisneyPlus,27.90,Credito,Serviços,Assinatura,1,,,
2023-03-04,2023,03,04,FlorindaBistro,82.00,Credito,Restaurante,Jantar,0,Niver da Giu,,
2023-03-05,2023,03,05,FransCafe,44.00,Credito,Restaurante,Jantar,0,Niver da Giu,,
2023-03-05,2023,03,05,Amazonprimebr,14.90,Credito,Serviços,Assinatura,0,,,
2023-03-07,2023,03,07,SukiyaParaiso,32.90,Credito,Restaurante,Jantar,0,,,
2023-03-07,2023,03,07,PIXENVIADO-Cp:60701190-CIADEGASDESAOPAULOCOMGAS,14.06,Pix,Contas,Gás,1,,,
2023-03-07,2023,03,07,PIXENVIADO-Cp:18236120-CarlosEduardoDaSilva,71.91,Pix,Restaurante,Jantar,0,,,
2023-03-08,2023,03,08,Ifd*Nanica-Mooca,45.79,Credito,Restaurante,iFood,0,,,
2023-03-09,2023,03,09,PIXENVIADO-Cp:60701190-PLDEVICETECEMSISTDECOMPL,101.20,Pix,Transporte,Bilhete Unico,0,,,
2023-03-10,2023,03,10,SuaAcademia,47.96,Credito,Saúde,Academia,0,,,
2023-03-10,2023,03,10,SuaAcademia,119.90,Credito,Saúde,Academia,1,,,
2023-03-10,2023,03,10,PensaoBar,127.60,Credito,Bares,Lazer,0,,,
2023-03-11,2023,03,11,CasaSantaGemmaSuper,77.44,Credito,Compras,Mercado,0,,,
2023-03-12,2023,03,12,StartSushi,77.28,Credito,Restaurante,Jantar,0,,,
2023-03-12,2023,03,12,Ebn*Sonyplaystatn,301.04,Credito,Entretenimento,Lazer,0,Jogo Harry Potter,,
2023-03-13,2023,03,13,Dm*GodaddycomlA,90.94,Credito,Serviços,Assinatura,1,Domínio pedaraujo.com,,
2023-03-14,2023,03,14,apple.Com/Bill,8.75,Credito,Serviços,Assinatura,1,iCloud armazenamento,,
2023-03-17,2023,03,17,Dm*Spotify,9.90,Credito,Serviços,Assinatura,1,,,
2023-03-17,2023,03,17,Pag*Coelhaobeer,44.66,Credito,Bares,Lazer,0,,,
2023-03-17,2023,03,17,Amazon-Marketplace,154.90,Credito,Compras,Outros,0,Adaptador HDMI,,
2023-03-18,2023,03,18,OxxoParis,11.77,Credito,Compras,Mercado,0,,,
2023-03-19,2023,03,19,ContaVivo,125.37,Credito,Serviços,Assinatura,1,,,
2023-03-19,2023,03,19,Ifd*PomocaoSushiPor,83.80,Credito,Restaurante,iFood,0,,,
2023-03-20,2023,03,20,UtilitaVilaClementin,19.90,Credito,Compras,Outros,0,Adaptador USB,,
2023-03-21,2023,03,21,Filial19Paraiso,46.33,Credito,Restaurante,Jantar,0,Cabana Burger,,
2023-03-22,2023,03,22,Jojo Ramen,151.53,Credito,Restaurante,Date,0,,,
2023-03-24,2023,03,24,Totalpass,59.90,Credito,Saúde,Academia,1,Totalpass Smartfit,,
2023-03-24,2023,03,24,PIXENVIADO-Cp:10573521-RODRIGOGALHARDODELIMA36640691884,93.32,Pix,Compras,Outros,0,Mouse Pad Bullpad,,
2023-03-24,2023,03,24,COMPRACREDITODEBITADO-*,0.50,Debito,Não sei,Não sei,0,,,
2023-03-25,2023,03,25,LivrariaDaVilaLtda,69.90,Credito,Livros,Lazer,0,Jornada da Humanidade,,
2023-03-26,2023,03,26,CasaSantaGemmaSuper,66.31,Credito,Compras,Mercado,0,,,
2023-03-26,2023,03,26,Uber*Uber*Trip,14.08,Credito,Transporte,Carro,0,,,
